step,phase,episode,success_rate,task_return,regularized_return,final_distance,episode_length,correction_norm,gate,critic_loss,actor_loss,alpha_loss,alpha,mean_log_prob
198,train_episode,0,1.0,1.0,0.976634965033736,nan,198,0.03040194462495621,0.40404040404040403,,,,,
327,train_episode,1,1.0,1.0,0.9934402383165434,nan,129,0.013605286446652671,0.18604651162790697,0.20194865763187408,3.5526857376098633,0.0,0.10000000149011612,16.198810577392578
473,train_episode,2,1.0,1.0,0.9891408531926572,nan,146,0.020114061894686255,0.2808219178082192,0.10880504548549652,4.4507832527160645,0.0,0.10000000149011612,16.198562622070312
616,train_episode,3,1.0,1.0,0.9875490462523885,nan,143,0.021870045759877957,0.27972027972027974,0.02990804985165596,5.32258415222168,0.0,0.10000000149011612,16.198280334472656
1016,train_episode,4,0.0,0.0,-0.06323834639624694,nan,400,0.04093404836952686,0.545,0.3094615340232849,8.105323791503906,0.0,0.10000000149011612,16.321155548095703
1164,train_episode,5,1.0,1.0,0.9892794002254959,nan,148,0.019188704371855065,0.2635135135135135,0.19265152513980865,9.15960693359375,0.0,0.10000000149011612,16.34423065185547
1332,train_episode,6,1.0,1.0,0.9925244943704455,nan,168,0.011323287794809966,0.1488095238095238,0.5601658821105957,10.2442045211792,0.0,0.10000000149011612,16.422237396240234
1473,train_episode,7,1.0,1.0,0.9932067885121796,nan,141,0.013144223059111454,0.18439716312056736,0.5970886945724487,11.219780921936035,0.0,0.10000000149011612,16.385974884033203
1679,train_episode,8,1.0,1.0,0.9845328816445544,nan,206,0.019417285647930452,0.2621359223300971,0.7441895604133606,12.378316879272461,0.0,0.10000000149011612,16.626571655273438
1807,train_episode,9,1.0,1.0,0.9944927843869664,nan,128,0.011042059923056513,0.1484375,0.7730156183242798,13.23861026763916,0.0,0.10000000149011612,16.70878791809082
2207,train_episode,10,0.0,0.0,-0.0336103396024555,nan,400,0.021621435107663275,0.2875,0.29464444518089294,15.936012268066406,0.0,0.10000000149011612,16.559452056884766
