step,phase,episode,success_rate,task_return,regularized_return,final_distance,episode_length,correction_norm,gate,critic_loss,actor_loss,alpha_loss,alpha,mean_log_prob
150,train_episode,0,1.0,1.0,0.9936079077073373,nan,150,0.011766700918475786,0.16666666666666666,,,,,
550,train_episode,1,0.0,0.0,-0.027889117153245033,nan,400,0.018213043198920788,0.245,0.006373337935656309,4.946399211883545,0.0,0.10000000149011612,16.17017936706543
834,train_episode,2,1.0,1.0,0.9494096014008392,nan,284,0.04619612773014626,0.6197183098591549,0.004885150585323572,6.742182731628418,0.0,0.10000000149011612,16.153352737426758
983,train_episode,3,1.0,1.0,0.9875711310072802,nan,149,0.021661328614358134,0.28859060402684567,0.026790544390678406,7.718992233276367,0.0,0.10000000149011612,16.204021453857422
1383,train_episode,4,0.0,0.0,-0.05853156031225812,nan,400,0.037664300184696915,0.5025,0.02942931279540062,10.566192626953125,0.0,0.10000000149011612,16.331195831298828
1532,train_episode,5,1.0,1.0,0.9883305452298373,nan,149,0.02042981539696655,0.2751677852348993,0.03828500583767891,11.669445991516113,0.0,0.10000000149011612,16.245258331298828
1693,train_episode,6,1.0,1.0,0.9936730825924315,nan,161,0.010002922035337234,0.13043478260869565,0.0511355921626091,12.786491394042969,0.0,0.10000000149011612,16.3572998046875
1836,train_episode,7,1.0,1.0,0.9918553819414229,nan,143,0.014755550537492845,0.1958041958041958,1.0436320304870605,13.708932876586914,0.0,0.10000000149011612,16.51681137084961
1964,train_episode,8,1.0,1.0,0.9913478751783259,nan,128,0.017567900475114584,0.234375,1.087524175643921,14.725713729858398,0.0,0.10000000149011612,16.467622756958008
2093,train_episode,9,1.0,1.0,0.992700095847249,nan,129,0.013705817044012306,0.17054263565891473,0.19894476234912872,15.562459945678711,0.0,0.10000000149011612,16.535566329956055
2493,train_episode,10,0.0,0.0,-0.08576696135569363,nan,400,0.05495421001687646,0.725,0.7615745067596436,18.20530128479004,0.0,0.10000000149011612,16.670562744140625
2636,train_episode,11,1.0,1.0,0.9851898479042575,nan,143,0.023415739928092157,0.2727272727272727,0.38052424788475037,19.252235412597656,0.0,0.10000000149011612,16.58759117126465
2790,train_episode,12,1.0,1.0,0.986870848480612,nan,154,0.01980763047256253,0.23376623376623376,0.8141752481460571,19.844619750976562,0.0,0.10000000149011612,16.971376419067383
3190,train_episode,13,0.0,0.0,-0.07407642955658958,nan,400,0.04680663898587227,0.6075,0.5437203049659729,22.7121524810791,0.0,0.10000000149011612,16.831987380981445
3348,train_episode,14,1.0,1.0,0.9799083503312431,nan,158,0.028328837661803524,0.3227848101265823,0.8045600056648254,23.577831268310547,0.0,0.10000000149011612,16.826183319091797
3748,train_episode,15,0.0,0.0,-0.04258562155300752,nan,400,0.025890127327293157,0.325,1.2981691360473633,26.466197967529297,0.0,0.10000000149011612,16.67613983154297
4148,train_episode,16,0.0,0.0,-0.08252095092611855,nan,400,0.053254768778569994,0.71,1.1112093925476074,29.120107650756836,0.0,0.10000000149011612,16.724937438964844
4330,train_episode,17,1.0,1.0,0.974092423543334,nan,182,0.03297094267966983,0.3901098901098901,1.2839025259017944,30.086811065673828,0.0,0.10000000149011612,16.769804000854492
4730,train_episode,18,0.0,0.0,-0.08593601817265153,nan,400,0.05050294851884246,0.6075,1.2762833833694458,32.71055221557617,0.0,0.10000000149011612,16.841493606567383
4872,train_episode,19,1.0,1.0,0.9889664190355688,nan,142,0.01733872572511015,0.19718309859154928,2.016953468322754,33.76456832885742,0.0,0.10000000149011612,16.722375869750977
4995,train_episode,20,1.0,1.0,0.9878008182393387,nan,123,0.020285024451531047,0.21138211382113822,1.5777430534362793,34.50194549560547,0.0,0.10000000149011612,16.844173431396484
5137,train_episode,21,1.0,1.0,0.9895473531447351,nan,142,0.016325895530237278,0.18309859154929578,2.837782382965088,34.7728271484375,0.0,0.10000000149011612,16.946189880371094
5290,train_episode,22,1.0,1.0,0.9884917424991727,nan,153,0.016214710045484155,0.17647058823529413,2.2813143730163574,35.963836669921875,0.0,0.10000000149011612,17.050302505493164
5518,train_episode,23,1.0,1.0,0.9586981835542246,nan,228,0.04083693553611897,0.4692982456140351,1.6692692041397095,37.62925720214844,0.0,0.10000000149011612,16.751789093017578
5681,train_episode,24,1.0,1.0,0.9912042260169983,nan,163,0.01221124187934618,0.1411042944785276,1.166450023651123,38.710025787353516,0.0,0.10000000149011612,16.973541259765625
5840,train_episode,25,1.0,1.0,0.9836526790633797,nan,159,0.02289116719983659,0.2578616352201258,1.2997825145721436,38.817081451416016,0.0,0.10000000149011612,17.078025817871094
6240,train_episode,26,0.0,0.0,0.0,nan,400,0.0,0.0,1.4614121913909912,40.505271911621094,0.0,0.10000000149011612,16.979766845703125
6640,train_episode,27,0.0,0.0,-0.01599456984549761,nan,400,0.009366135280579328,0.1125,3.2519917488098145,43.66751480102539,0.0,0.10000000149011612,17.026561737060547
6790,train_episode,28,1.0,1.0,0.9911699942545965,nan,150,0.013639844407637915,0.16,2.2643637657165527,44.60151290893555,0.0,0.10000000149011612,17.05023765563965
7190,train_episode,29,0.0,0.0,-0.08274174111429604,nan,400,0.0467127357237041,0.5375,4.377350330352783,44.83042526245117,0.0,0.10000000149011612,17.501359939575195
7420,train_episode,30,1.0,1.0,0.9881418608129025,nan,230,0.010950762908095898,0.11739130434782609,1.7384618520736694,48.022464752197266,0.0,0.10000000149011612,16.8417911529541
7642,train_episode,31,1.0,1.0,0.9676832757890225,nan,222,0.036306118005299357,0.46396396396396394,2.9472455978393555,48.97929000854492,0.0,0.10000000149011612,16.80767059326172
8042,train_episode,32,0.0,0.0,0.0,nan,400,0.0,0.0,3.445594310760498,50.646759033203125,0.0,0.10000000149011612,17.034412384033203
8171,train_episode,33,1.0,1.0,0.9905449038022198,nan,129,0.01669588254750237,0.1937984496124031,2.630390167236328,52.48776626586914,0.0,0.10000000149011612,16.784421920776367
8292,train_episode,34,1.0,1.0,0.9919935441459529,nan,121,0.01428000838303369,0.15702479338842976,3.8076117038726807,52.33477020263672,0.0,0.10000000149011612,17.04120445251465
8433,train_episode,35,1.0,1.0,0.9910784732783213,nan,141,0.015106171845121587,0.18439716312056736,3.2179155349731445,52.540889739990234,0.0,0.10000000149011612,17.075618743896484
8573,train_episode,36,1.0,1.0,0.9881338805658743,nan,140,0.019838558882474898,0.2357142857142857,4.91532039642334,54.41619873046875,0.0,0.10000000149011612,17.014732360839844
8742,train_episode,37,1.0,1.0,0.9843997269170359,nan,169,0.021004531510482878,0.24260355029585798,5.266387462615967,55.340179443359375,0.0,0.10000000149011612,16.892330169677734
8870,train_episode,38,1.0,1.0,0.9932656933553516,nan,128,0.012085592024959624,0.140625,5.559096813201904,55.363555908203125,0.0,0.10000000149011612,17.036357879638672
9029,train_episode,39,1.0,1.0,0.9914138677762822,nan,159,0.012926936196456166,0.15723270440251572,3.1611814498901367,55.67607498168945,0.0,0.10000000149011612,16.96118927001953
9362,train_episode,40,1.0,1.0,0.9312597776413895,nan,333,0.049950996956399256,0.6186186186186187,4.228363037109375,56.07257843017578,0.0,0.10000000149011612,17.103269577026367
9515,train_episode,41,1.0,1.0,0.9928227900411003,nan,153,0.01069747936589266,0.12418300653594772,6.661385536193848,57.87818908691406,0.0,0.10000000149011612,17.060020446777344
9665,train_episode,42,1.0,1.0,0.988220323016867,nan,150,0.017888661175966263,0.20666666666666667,10.45744514465332,57.22080993652344,0.0,0.10000000149011612,17.14504623413086
