step,phase,episode,success_rate,task_return,regularized_return,final_distance,episode_length,correction_norm,gate,critic_loss,actor_loss,alpha_loss,alpha,mean_log_prob
4588,train_episode,17,0.0,0.0,-2.7507805272284864,nan,400,0.07600630609318614,0.31408803901635113,1.3017548322677612,31.467639923095703,0.0,0.10000000149011612,16.746627807617188
4988,train_episode,18,0.0,0.0,-2.8149618748831546,nan,400,0.0790744175389409,0.3198139202594757,3.189910650253296,33.66451644897461,0.0,0.10000000149011612,16.624610900878906
5388,train_episode,19,0.0,0.0,-3.550457308683544,nan,400,0.07959696660749614,0.4112799357343465,1.3640785217285156,35.76972961425781,0.0,0.10000000149011612,16.990867614746094
5520,train_episode,20,1.0,1.0,0.553300499008037,nan,132,0.0801920597582604,0.1361872408200394,1.9335908889770508,36.26881790161133,0.0,0.10000000149011612,17.10987663269043
5677,train_episode,21,1.0,1.0,-0.4819214439741337,nan,157,0.07775416692635816,0.44082407354359415,1.4060251712799072,37.39173126220703,0.0,0.10000000149011612,16.997528076171875
6077,train_episode,22,0.0,0.0,-4.0380449324031344,nan,400,0.0776435960829258,0.47366865864023566,2.872960329055786,40.22140884399414,0.0,0.10000000149011612,16.927490234375
6295,train_episode,23,1.0,1.0,-1.262626915655566,nan,218,0.0786185296713759,0.48714867258153927,5.642498016357422,39.65021896362305,0.0,0.10000000149011612,17.24915885925293
6695,train_episode,24,0.0,0.0,-4.907153294493906,nan,400,0.07701285444200039,0.5829010154400021,1.2325692176818848,44.339866638183594,0.0,0.10000000149011612,17.179759979248047
6827,train_episode,25,1.0,1.0,-0.29240897848736436,nan,132,0.07955091037420613,0.457282233785725,1.8352857828140259,44.3708381652832,0.0,0.10000000149011612,16.911544799804688
6960,train_episode,26,1.0,1.0,-0.00027863253839310875,nan,133,0.07498158760985038,0.34699000913957906,6.605899810791016,43.85014343261719,0.0,0.10000000149011612,17.17424774169922
7360,train_episode,27,0.0,0.0,-2.5799139259941875,nan,400,0.07803846700116993,0.29115972474217416,3.424232244491577,46.90332794189453,0.0,0.10000000149011612,17.105506896972656
7760,train_episode,28,0.0,0.0,-4.664374485833105,nan,400,0.07613004972226918,0.5532133671920747,2.372908115386963,49.42488479614258,0.0,0.10000000149011612,17.275867462158203
7948,train_episode,29,1.0,1.0,-0.6917489952698817,nan,188,0.07719313483090794,0.4193040737485949,3.0616774559020996,50.87923812866211,0.0,0.10000000149011612,17.246978759765625
8348,train_episode,30,0.0,0.0,-2.2915042081964216,nan,400,0.07954025644809008,0.2538961950223893,9.40380859375,52.0431022644043,0.0,0.10000000149011612,17.27450180053711
8479,train_episode,31,1.0,1.0,-0.25907642431091515,nan,131,0.0790917151074373,0.4486208364708733,4.086907386779785,52.62103271484375,0.0,0.10000000149011612,17.281198501586914
8634,train_episode,32,1.0,1.0,-0.10416920349933234,nan,155,0.08085996607138264,0.32260618596788376,3.7454426288604736,53.51570129394531,0.0,0.10000000149011612,17.211292266845703
8786,train_episode,33,1.0,1.0,0.06589600616833202,nan,152,0.08334413785977583,0.2716809551868784,1.766249418258667,54.62947463989258,0.0,0.10000000149011612,17.238536834716797
8905,train_episode,34,1.0,1.0,-0.07993934303289274,nan,119,0.07849331175078865,0.4222708084941411,2.077730655670166,54.13351821899414,0.0,0.10000000149011612,17.26441192626953
9041,train_episode,35,1.0,1.0,-0.19883789032232013,nan,136,0.078251663595438,0.40927671860246095,3.5375304222106934,54.79686737060547,0.0,0.10000000149011612,17.28914451599121
9441,train_episode,36,0.0,0.0,-4.347300055567175,nan,400,0.07654862066730857,0.513323225248605,4.903634548187256,56.139251708984375,0.0,0.10000000149011612,17.62740707397461
9590,train_episode,37,1.0,1.0,0.2775188732193784,nan,149,0.07865585359250939,0.2107004094993908,1.9356763362884521,59.01470947265625,0.0,0.10000000149011612,17.217178344726562
9739,train_episode,38,1.0,1.0,-0.1440971187129617,nan,149,0.07762104482858773,0.3529137520732096,3.273512363433838,57.35830307006836,0.0,0.10000000149011612,17.482378005981445
9911,train_episode,39,1.0,1.0,-0.697134340282064,nan,172,0.0796109696763546,0.46077582484847585,1.7630259990692139,59.29117965698242,0.0,0.10000000149011612,17.301219940185547
10092,train_episode,40,1.0,1.0,-0.3990762242814533,nan,181,0.07887985816647335,0.3546520054998977,4.058428764343262,60.61496353149414,0.0,0.10000000149011612,17.29916000366211
10260,train_episode,41,1.0,1.0,-0.3012730301800187,nan,168,0.07833197515546567,0.35563039109997807,2.1545157432556152,62.219032287597656,0.0,0.10000000149011612,17.26163101196289
10403,train_episode,42,1.0,1.0,0.07200601843884225,nan,143,0.07997684446456549,0.29168860301688,2.595029830932617,61.626068115234375,0.0,0.10000000149011612,17.309118270874023
10679,train_episode,43,1.0,1.0,-0.7080957201146515,nan,276,0.07739439077567363,0.27863382326735964,14.696735382080078,63.30009078979492,0.0,0.10000000149011612,17.19420623779297
11079,train_episode,44,0.0,0.0,-2.3576626762235544,nan,400,0.07476908787153662,0.2658809794019908,2.6174774169921875,63.365989685058594,0.0,0.10000000149011612,17.410457611083984
11199,train_episode,45,1.0,1.0,-0.018697105513419965,nan,120,0.07696323165049156,0.3941252246499062,5.925393104553223,64.52334594726562,0.0,0.10000000149011612,17.295215606689453
11365,train_episode,46,1.0,1.0,-0.22286379872588435,nan,166,0.07757730346666761,0.33744189791740425,7.533024787902832,65.18391418457031,0.0,0.10000000149011612,17.43362045288086
11505,train_episode,47,1.0,1.0,-0.37358709946973245,nan,140,0.07646777408995799,0.4604362601680415,2.0177817344665527,65.91712951660156,0.0,0.10000000149011612,17.204099655151367
11643,train_episode,48,1.0,1.0,0.2221577565581535,nan,138,0.07723705781002839,0.25122434370543645,1.8973562717437744,67.11209869384766,0.0,0.10000000149011612,17.38602638244629
11772,train_episode,49,1.0,1.0,-0.1958563465031331,nan,129,0.07574138160823851,0.43395262633183207,2.3413798809051514,65.35881042480469,0.0,0.10000000149011612,17.62090492248535
11914,train_episode,50,1.0,1.0,0.1191311775054783,nan,142,0.07810516647574767,0.2788166973057767,1.69217050075531,67.02091979980469,0.0,0.10000000149011612,17.54505729675293
12141,train_episode,51,1.0,1.0,-0.49744197228224973,nan,227,0.08582675875480479,0.29205054665058194,2.740626573562622,68.25105285644531,0.0,0.10000000149011612,17.41384506225586
12379,train_episode,52,1.0,1.0,-0.6070648040785449,nan,238,0.0757393453176282,0.30816863730800254,2.829893112182617,70.14373016357422,0.0,0.10000000149011612,17.428672790527344
12531,train_episode,53,1.0,1.0,-0.18873684594407747,nan,152,0.08002849915800125,0.35820138344149055,5.037856578826904,69.04231262207031,0.0,0.10000000149011612,17.526248931884766
12931,train_episode,54,0.0,0.0,-3.173636061307043,nan,400,0.08270974983461202,0.36133406111970545,2.7321150302886963,70.81658935546875,0.0,0.10000000149011612,17.65279769897461
13331,train_episode,55,0.0,0.0,-3.562361835036424,nan,400,0.07787692315876484,0.4141811931040138,5.725637435913086,70.817626953125,0.0,0.10000000149011612,17.799938201904297
